"","submodel","R2","pval","p.adj"
"HSPs","heatwave-euccam-","0.496907665117065","0.117764107053731",1
"HSPs1","post_1day-euccam-","0.231780974443739","0.333639346113414",1
"HSPs2","post_6day-euccam-","0.00159417592143005","0.940141126465884",1
"HSPs3","pre_heatwave-euccam-","0.0147354708315403","0.818809746086258",1
"HSPs4","heatwave-eucbot-","0.672699567293091","0.0455942904389577",1
"HSPs5","post_1day-eucbot-","0.501275146722174","0.115441567039618",1
"HSPs6","post_6day-eucbot-","0.824519551184933","0.0122986029777404",1
"HSPs7","pre_heatwave-eucbot-","0.645165902341589","0.0542724878913898",1
"HSPs8","heatwave-eucter-","0.240964055123226","0.322820980144211",1
"HSPs9","post_1day-eucter-","0.471372393434192","0.200447149826721",1
"HSPs10","post_6day-eucter-","0.00118769763647662","0.948325981747032",1
"HSPs11","pre_heatwave-eucter-","0.48006448344117","0.127010097661033",1
"HSPs12","heatwave-eucsmi-","0.0175163897168351","0.802634895152155",1
"HSPs13","post_1day-eucsmi-","0.0905408162549036","0.562271850685588",1
"HSPs14","post_6day-eucsmi-","0.00917487720365466","0.856761041499787",1
"HSPs15","pre_heatwave-eucsmi-","0.253456189740721","0.308634050817469",1
